age,sex,avg hrs per week
17,Female,19.940860215053764
17,Male,22.60096153846154
18,Female,25.127340823970037
18,Male,26.74642857142857
19,Female,28.71549295774648
19,Male,32.73371104815864
20,Female,29.12707182320442
20,Male,35.25192802056555
21,Female,31.408536585365855
21,Male,36.264102564102565
22,Female,32.85964912280702
22,Male,37.040189125295505
23,Female,34.63509749303621
23,Male,38.13565891472868
24,Female,36.82295081967213
24,Male,40.49087221095335
25,Female,37.38263665594855
25,Male,41.55597722960152
26,Female,38.5
26,Male,42.567676767676765
27,Female,40.00682593856655
27,Male,43.144177449168204
28,Female,39.41290322580645
28,Male,43.47122302158273
29,Female,39.57564575645756
29,Male,43.760147601476014
30,Female,38.32720588235294
30,Male,43.95400340715503
31,Female,39.63120567375886
31,Male,44.38778877887789
32,Female,39.015686274509804
32,Male,44.596858638743456
33,Female,39.79607843137255
33,Male,44.269354838709674
34,Female,38.0739299610895
34,Male,44.925278219395864
35,Female,39.881632653061224
35,Male,45.48095238095238
36,Female,38.055749128919864
36,Male,45.700490998363335
37,Female,38.51528384279476
37,Male,45.59618441971383
38,Female,38.75847457627118
38,Male,46.164406779661014
39,Female,39.32421875
39,Male,45.70125223613596
40,Female,38.44106463878327
40,Male,44.4180790960452
41,Female,39.63090128755365
41,Male,44.51304347826087
42,Female,39.21052631578947
42,Male,44.87477313974592
43,Female,39.69432314410481
43,Male,44.75600739371534
44,Female,39.69651741293532
44,Male,45.83524904214559
45,Female,39.567567567567565
45,Male,44.91015625
46,Female,39.863436123348016
46,Male,44.29133858267716
47,Female,39.13084112149533
47,Male,44.945344129554655
48,Female,38.853801169590646
48,Male,45.215053763440864
49,Female,40.0
49,Male,45.36138613861386
50,Female,39.71153846153846
50,Male,45.437219730941706
51,Female,39.60122699386503
51,Male,44.673611111111114
52,Female,38.69402985074627
52,Male,44.66279069767442
53,Female,39.845588235294116
53,Male,44.73780487804878
54,Female,37.923809523809524
54,Male,44.15806451612903
55,Female,38.18248175182482
55,Male,44.269503546099294
56,Female,39.20754716981132
56,Male,43.223076923076924
57,Female,38.582417582417584
57,Male,43.78277153558052
58,Female,37.180952380952384
58,Male,42.333333333333336
59,Female,39.02127659574468
59,Male,43.030651340996165
60,Female,36.56962025316456
60,Male,41.88841201716738
61,Female,37.9873417721519
61,Male,39.09049773755656
62,Female,36.14772727272727
62,Male,40.423529411764704
63,Female,33.3125
63,Male,38.42168674698795
64,Female,29.814285714285713
64,Male,36.869565217391305
65,Female,32.64912280701754
65,Male,36.20661157024794
66,Female,30.645833333333332
66,Male,34.07843137254902
67,Female,27.826923076923077
67,Male,32.60606060606061
68,Female,29.5
68,Male,32.98717948717949
69,Female,23.151515151515152
69,Male,31.6
70,Female,23.571428571428573
70,Male,32.50819672131148
71,Female,29.153846153846153
71,Male,28.73913043478261
72,Female,27.4
72,Male,27.666666666666668
73,Female,25.90909090909091
73,Male,29.976190476190474
74,Female,15.894736842105264
74,Male,26.59375
75,Female,24.785714285714285
75,Male,26.774193548387096
76,Female,21.9375
76,Male,23.3
77,Female,16.11111111111111
77,Male,25.65
78,Female,18.142857142857142
78,Male,28.0625
79,Female,25.2
79,Male,27.294117647058822
80,Female,20.4
80,Male,24.58823529411765
81,Female,15.11111111111111
81,Male,27.09090909090909
82,Female,13.0
82,Male,18.3
83,Female,20.0
83,Male,37.6
84,Female,19.0
84,Male,27.666666666666668
85,Female,50.0
85,Male,19.0
86,Female,40.0
87,Male,2.0
88,Female,40.0
88,Male,40.0
90,Female,31.5
90,Male,39.535714285714285
