age,income,education.num
17,<=50K,394
18,<=50K,547
19,<=50K,706
19,>50K,2
20,<=50K,751
21,<=50K,715
21,>50K,3
22,<=50K,752
22,>50K,13
23,<=50K,863
23,>50K,12
24,<=50K,767
24,>50K,31
25,<=50K,785
25,>50K,53
26,<=50K,722
26,>50K,63
27,<=50K,753
27,>50K,81
28,<=50K,747
28,>50K,119
29,<=50K,679
29,>50K,134
30,<=50K,688
30,>50K,171
31,<=50K,705
31,>50K,183
32,<=50K,639
32,>50K,189
33,<=50K,684
33,>50K,191
34,<=50K,643
34,>50K,243
35,<=50K,658
35,>50K,217
36,<=50K,635
36,>50K,263
37,<=50K,566
37,>50K,292
38,<=50K,545
38,>50K,281
39,<=50K,537
39,>50K,278
40,<=50K,526
40,>50K,268
41,<=50K,529
41,>50K,279
42,<=50K,510
42,>50K,269
43,<=50K,497
43,>50K,273
44,<=50K,442
44,>50K,281
45,<=50K,446
45,>50K,288
46,<=50K,443
46,>50K,292
47,<=50K,420
47,>50K,288
48,<=50K,326
48,>50K,217
49,<=50K,369
49,>50K,206
50,<=50K,341
50,>50K,261
51,<=50K,353
51,>50K,242
52,<=50K,286
52,>50K,192
53,<=50K,275
53,>50K,189
54,<=50K,242
54,>50K,173
55,<=50K,273
55,>50K,146
56,<=50K,248
56,>50K,118
57,<=50K,227
57,>50K,131
58,<=50K,244
58,>50K,122
59,<=50K,222
59,>50K,133
60,<=50K,211
60,>50K,101
61,<=50K,204
61,>50K,96
62,<=50K,191
62,>50K,67
63,<=50K,171
63,>50K,59
64,<=50K,155
64,>50K,53
65,<=50K,135
65,>50K,43
66,<=50K,115
66,>50K,35
67,<=50K,114
67,>50K,37
68,<=50K,93
68,>50K,27
69,<=50K,87
69,>50K,21
70,<=50K,70
70,>50K,19
71,<=50K,56
71,>50K,16
72,<=50K,58
72,>50K,9
73,<=50K,54
73,>50K,10
74,<=50K,39
74,>50K,12
75,<=50K,38
75,>50K,7
76,<=50K,41
76,>50K,5
77,<=50K,24
77,>50K,5
78,<=50K,18
78,>50K,5
79,<=50K,13
79,>50K,9
80,<=50K,20
80,>50K,2
81,<=50K,17
81,>50K,3
82,<=50K,12
83,<=50K,4
83,>50K,2
84,<=50K,9
84,>50K,1
85,<=50K,3
86,<=50K,1
87,<=50K,1
88,<=50K,3
90,<=50K,34
90,>50K,8
